"id","description","allocation","agency_id","ministry_id","date_commissioned","location_type","location_id","status_id","type_id","user_id"
33,"CONSTRUCTION OF FOUR (4) BLOCKS OF CLASSROOMS WITH FENCING IN GAMAWA AND ZAKI LGAs OF BAUCHI NORTH SENATORIAL DISTRICT, BAUCHI STATE.",20000000,18,45,1/1/2018,localGovernment,110,5,2,1
34,"TRAINING OF YOUTH AND WOME EMPOWERMENT IN NASSARAWA, KANO STATE",24000000,29,244,,localGovernment,385,1,2,1
35,"SUPPLY OF GRAINS TO KADUNA NORTH FED
CONSTITUENCY, KADUNA STATE",35000000,29,244,1/1/2018,localGovernment,339,5,2,1
36,SUPPLY AND FIT HT AND LT FOR MATARAR ALHAZAI AND ARAWA- BATURIYA IN KKM LGA JIGAWA STATE,7000000,28,236,2015-01-01,localGovernment,321,1,2,1
37,"CONSTRUCTION OF 1.5KM IGOSUN ROAD IN OFFA LGA , KWARA STATE",20000000,23,312,2017-01-01,localGovernment,486,5,2,1
38,"SUPPLY OF SEWING MACHINES & GRINDING MACHINES IN ILORIN
EAST&ILORIN SOUTH, KWARA STATE",30000000,3,2,1/1/2018,localGovernment,480,5,2,1
39,SUPPY OF TWO (2) NOS SPEED BOATS 115 HP OUTBOARD ENGINE FOR RIVERINE COMMUNITIES IN EGOR/IKPOBA-OKHA FEDERAL CONSTITUENCY OF EDO STATE,15000000,29,35,2017-01-01,localGovernment,224,1,2,1
40,"SUPPLY OF 9,000 BRANDED SCHOOL BAGS WITH MATHEMATICAL SETS FOR SECONDARY SCHOOL CHILDREN IN IJEBU- NORTH/IJEBU-EAST/OGUN WATERSIDE FEDERAL CONSTITUENCY, OGUN STATE",45000000,29,244,2018-01-01,localGovernment,556,5,2,1
41,"REHABILITATION OF POESHIP/BAKIN KOGI THROUGH SHARGAN-NGOOTUGUUT ROAD, SHENDAM LGA, PLATEAU SOUTH SENATORIAL DISTRICT, PLATEAU STATE.",20000000,28,240,2017-01-01,localGovernment,665,5,2,1
42,"CONSTRUCTION OF OLD AFOR MARKET OKPANKU- NDIAGBADA AMAGU-UZO EGUNKWO OKPANKU EROSION REHABUILITATION PROJECT, ANINRI LGA, ENUGU STATE",45000000,28,232,2016-01-01,localGovernment,265,2,2,1
43,"CONSTRUCTION OF A COMPUTER ROOM OF ABOUT 65 SQUARE METER, FURNITURE WITH 25 COMPUTERS, 2 PRINTERS AND A GENERATOR AT JSS IN A SELECTED SCHOOL IN SAPELE TOWNSHIP, DELTA STATE",20000000,1,173,,localGovernment,202,1,2,1
44,"PRODUCTION AND SUPPLY OF GRAIN GRINDING AND HOME GRINDING MACHINES AND WATERPUMPS FOR RURAL COMMUNITIES IN JERE FEDERAL CONSTITUENCY,BORNO STATE",58000000,23,192,2017-01-01,localGovernment,142,1,2,1
45,THIRD MADE IN ABA FAIR IN ABUJA,88000000,3,122,2015-01-01,localGovernment,767,1,2,1
46,"HCT AND MULTI-DISEASE OUTREACH IN OGBARU HINTERLAND, OGBARU FEDERAL CONSTITUENCY, ANAMBRA STATE",30000000,29,194,2016-01-01,localGovernment,86,6,2,1
47,"COMPLETION OF WATER PROJECTS AND SUPPLY OF UREA/NPK FERTILIZER ACROSS GOMBE NORTH SENATORIAL DISTRICT, GOMBE STATE.",100000000,28,253,6/1/2019,localGovernment,281,2,2,1
48,"TRAINING OF YOUTHS AND COMMUNITY LEADERS FOR ECONOMIC EMANCIPATION AND EMPOWERMENT IN THE BORDER COMMUNITIES OF NIGER NORTH SENATORIAL DISTRICT, NIGER STATE.",100000000,29,35,1/1/2018,localGovernment,792,5,2,1
49,"YOUTH AND WOMEN EMPOERMENT IN MAKARFI/KUDAN FEDERAL CONSTITUECY, KADUNA STATE",5000000,3,122,2017-01-01,localGovernment,348,5,2,1
50,"CONSTRUCTION OF  CLASSROOM BLOCK AND INFRASTRUCTURE AT COMMUNITY SCHOOL, AMICHI, NNEWI SOUTH, ANAMBRA SOUTH SENATORIAL DISTRICT, ANAMBRA STATE",9800000,28,232,2017-01-01,localGovernment,85,1,2,1
51,SUPPLY OF TRICYCLE TO IREPODUN/OLORUNDA/OROLU/OSOGBO,55000000,3,122,2015-01-01,localGovernment,617,1,2,1
52,"""TRAINING AND EMPOWERMENT OF YOUTHS IN AQUACULTURE IN SAGBAMA TOWN, SAGBAMA LGA IN BAYELSA WEST
SENATORIAL DISTRICT OF BAYELSA STATE.""",50000000,20,1,2018-01-01,localGovernment,116,5,2,1
53,"SUPPLY OF MEDICAL DRUGS FOR DUTSE
PRISON, JIGAWA STATE.",13000000,29,1,6/1/2019,localGovernment,310,5,2,1
54,"REHABILITATION AND FURNISHING OF BLOCKS OF CLASSROOM IN OBOKUN HIGH SCHOOL, ILESA, OSUN STATE",140000000,10,237,2016-01-01,localGovernment,605,1,2,1
55,"INSTALLATION OF SOLAR POWERED STREETLIGHTS AT OTOR-IGHO, ISOKO SOUTH LGA, DELTA STATE",50000000,1,1,,localGovernment,194,1,1,1
56,"ROAD CONSTRUCTION @ ASKIRA-UBA LGA, BORNO STATE",20000000,23,1,,localGovernment,143,1,2,1
57,"VOCATIONAL TRAINING AND STRATEGIC EMPOWERMENT AND GRANTS FOR SMEs IN ETSAKO FEDERAL CONSTITUENCY, EDO STATE.",63000000,29,35,2017-01-01,localGovernment,234,1,2,1
58,"GENERAL LIBRARY, JS TARKA INSTITUTE FOR POLITICAL STUDIES GBOKO, BENUE STATE",20000000,28,240,2016-01-01,localGovernment,138,1,2,1
59,"""FREE MEDICAL OUTREACH AT TARKA LG,
BENUE STATE""",40000000,4,324,2019-06-01,localGovernment,138,5,2,1
60,THIRTY (30) HAND PUMP IN RANO/ BUNKURE/KIBIYA LOCAL GOVERNMENT AREA IN KANO STATE,40000000,28,236,2016-01-01,localGovernment,386,1,2,1
61,"COMPLETION, EQUIPPING AND FURNISHING OF CIVIC CENTRE ALOR, IDEMILI SOUTH, ANAMBRA CENTRAL SENATORIAL DISTRICT",30000000,17,378,2015-01-01,localGovernment,81,1,2,1
62,"SUPPLY OF: 160 UNITS OF MOTOCYCLES (CG125) TO MUSAWA/ MATAZU, KATSINA STATE.",30000000,29,244,2016-01-01,localGovernment,427,6,2,1
63,"SERVICING (CHANGING OF BATTERIES/SOLAR PANELS) OF ALL SOLAR STREET LIGHTS IN JALINGO/YORRO/ZING. FED CONTITUENCY, TARABA STATE",15000000,28,253,2017-01-01,localGovernment,727,5,2,1
64,"CONSTRUCTION OF A BLOCK OF 3 CLASSROOMS WITH FURNITURE AT KADUNA COMMUNITY BOSSO LGA, NIGER STATE",9000000,10,237,,localGovernment,527,1,2,1
65,"SUPPLY OF 76 NOS. OF MOTORCYCLES @ N375,650.00 EACH TO YOUTHS AND FARMERS OF JIGAWA NORTH-WEST SENATORIAL DISTRICT, JIGAWA STATE",28549400,29,244,2017-01-01,localGovernment,1,1,2,1
66,"REHABILITATION AND FURNISHING OF BLOCKS OF CLASSROOM IN C.A.C GRAMMER SCHOOL, OSOGBO, OSUN STATE",140000000,10,173,2016-01-01,localGovernment,617,1,2,1
67,"SUPPLY OF YOUTH AND WOMEN EMPOWERMENT ITEMS INCLUDING 20 NO DEEP FREEZERS, 30 NO. HAIRDRESSING MACHINE,  50 NO SEWING MACHINE, 50 NO CASSAVA GRINDING MACHINE , 50 NO 2.5 KVA GENERATORS SETS TO AJAOKUTA FEDERAL CONSTITUENCY, KOGI STATE",46900000,29,1,6/1/2019,localGovernment,455,5,2,1
68,REHABILITATION OF BWARI-GARAM-WUSE LINK ROAD TO ABUJA- KADUNA EXPRESSWAY,83000000,22,365,2015-01-01,localGovernment,792,1,2,1
69,"3N0 SOLAR BOREHOLES IN AKOKO-EDO CONSTITUENCY,EDO STATE",26000000,23,247,2016-01-01,localGovernment,221,5,2,1
70,SUPPLY OF COMPUTERS AND ACCESSORIES TO EQUIP THE E- LIBRARY CENTRE AT NGO TOWN IN ANDONI LOCAL GOVERNMENT AREA OF RIVERS STATE.,30000000,32,246,2016-01-01,localGovernment,671,1,2,1
71,"PURCHASE OF MOTORCYCLES FOR ELEVEN
(11) LOCAL GOVERNMENT AREAS OF KATSINA SOUTH SENATORIAL DISTRICT.",50000000,3,2,1/1/2018,localGovernment,786,5,2,1
72,"SOLAR POWERED BOREHOLE AND HAND PUMP BOREHOLEAT SHIRORO LGA, RAF LGA AND MUNYA LGA, NIGER STATE.",30000000,22,1,,localGovernment,544,1,2,1
73,"HIV AWARENESS CAMPAIGN AND FREE MEDICAL MISSION AT AGBOR GENERAL HOSPITAL, IKA NORTH EAST AND IKA SOUTH LGA, DELTA STATE",30000000,1,194,,localGovernment,191,1,2,1
74,"RENOVATION OF CLASSROOMS AT EGAN CENTRAL UJIABHOLE LGA, EDO STATE",7000000,10,173,01/01/2017,localGovernment,804,1,3,1
75,"SUPPLY OF POWER TILLERS FOR THE SIX LGA. IN KEBBI NORTH SENATORIAL DISTRICT, KEBBI STATE",30000000,28,284,2017-01-01,localGovernment,787,1,2,1
76,"CONSTRUCTION OF TOWNSHIP ROAD AND DRAINAGE FROM ST MARY'S ANGLICAN CHURCH ODE-EKITI TO MAIN MARKET ODE- EKITI SOUTH FEDERAL CONSTITUENCY 11,EKITI STATE.",13660000,29,244,2018-01-01,localGovernment,779,5,2,1
77,SUPPLY OF WATER RESOURCESPUMPS FOR IRRIGATION TO FIKA/FUNE FEDERAL CONSTITUENCY YOBE STATE,45000000,28,1,2017-01-01,localGovernment,729,5,2,1
78,"ESTABLISHMENT OF STAND ALONE SOLAR POWERED STREET LIGHT, WAMAKKO, SOKOTO STATE",18000000,23,192,2016-01-01,localGovernment,710,5,2,1
79,"SENSITIZATION TRAINING ON DRUG ABUSE IN TERTIARY INSTITUTIONS IN NASARAWA NORTH SENATORIAL DISTRICT, NASARAWA
STATE.",30000000,16,218,1/1/2018,localGovernment,791,5,2,1
80,"AGRIC TRAINING AND EMPOWERMENT FOR FARMERS IN IREPO/OORELOPE/OLORUNSOGO FEDERAL CONSTITUENCY, OYO STATE.",26216190,18,45,2017-01-01,localGovernment,618,5,2,1
81,"TRAINING AND EMPOWERMENT OF YOUTHS AND WOMEN ON ENTERPRISE MANAGEMENT IN IKOT EKPENE FEDERAL CONSTITUENCY, AKWA-IBOM STATE",25000000,16,323,2015-01-01,localGovernment,53,1,2,1
82,"SUPPLY OF MOTOR CYCLES (JINCHENG) TO ; EKITI WEST,EFON,IJERO LGAs",43000000,3,122,2015-01-01,localGovernment,238,1,2,1
83,"SUPPLY OF 1NO. TRACTOR AND ACCESSORIES FOR KOGI EAST SENATORIAL DISTRICT, KOGI STATE.",22928125,35,316,2017-01-01,localGovernment,788,5,2,1
84,"CONSTRUCTION OF 1KM RURAL ACCESS ROAD WITH SURFACE DRESSING (WITHOUT ASPHALT)IN OTUKPO TOWNSHIP, KEYSTONE STREET OTUKPO, BENUE SOUTH SENATORIAL DISTRICT, BENUE STATE.",36751000,22,297,1/20/2018,localGovernment,137,5,2,1
85,"PROVISION OF SOLAR POWERED BOREHOLES IN GOMBE SOUTH SENATORIAL DISTRICT, GOMBE STATE.",30000000,23,247,6/1/2019,localGovernment,281,5,2,1
86,"SANITISATION AWARENESS CAMPAIGN IN
IVO LGA EBONYI STATE",13000000,11,1,1/1/2018,localGovernment,220,5,2,1
87,HAND PUMP BOREHOLE IN KUSADA LGA KATSINA STATE,20000000,22,296,2018-01-01,localGovernment,421,5,2,1
88,"""PURCHASE AND SUPPLY OF GRINDING MACHINE COMPLETE WITH SUMEC ENGINE IN EKITI NORTH IDO-OSI/MOBA/ILEJEMEJE
,EKITI STATE""",14000000,16,190,2016-01-01,localGovernment,244,6,2,1
89,"PROVISION OF FEEDER ROAD AT OHATEKWE-OBOBO ROAD, EBONYI LGA, EBONYI NORTH SENATORIAL DISTRICT, EBONYI STATE",25000000,28,232,2017-01-01,localGovernment,219,1,2,1
90,"""SUPPLY OF TWO (2) TOYOTA HIACE BUSES IN ORON/MBO/OKOBO/UDUNG UKO/URUE OFFONG- ORUKO FEDERAL CONSTITUENCY,
AKWA IBOM STATE""",60000000,3,122,2018-01-01,localGovernment,64,5,2,1
91,COMMUINITY SUPPORT PROGRAMMES IN GUSAU LGA ZAMFARA STATE,75000000,29,244,2017-01-01,localGovernment,752,5,2,1
92,"SUPPLY OF HP COMPUTERS TO OGULAGHA KINGDOM IT CENTRE, BURUTU FEDERAL CONSTITUENCY, DELTA STATE",30000000,18,45,2018-01-01,localGovernment,197,5,2,1
93,"SENSITIZATION OF MARKET IN NUMAN
ADAMAWA STATE",13000000,11,1,1/1/2018,localGovernment,34,5,2,1
94,"CONSTRUCTION OF 20F X 40F STANDARD CONCRETE BRIDGE WITH GALVANIZED RODS AND HANDRAILS  AT IKIZA STREAM, IYEKOGBA LGA, EDO SOUTH SENATORIAL DISTRICT, EDO STATE",8000000,20,281,2016-01-01,localGovernment,221,5,2,1
95,"SUPPLY OF CUSTOMIZED NOTEBOOKS TO AYEDIRE IWO / OLA-OLUWA FEDERAL
CONSTITUENCY, OSUN STATE.",10000000,10,173,1/1/2018,localGovernment,613,5,2,1
96,GRADING AND ASPHALTING OF INNER ROADS IN LAGOS,100000000,23,267,6/1/2019,localGovernment,790,5,2,1
97,"WOMEN ECONOMIC EMPOWERMENT THROUGH VALUE ADDITION OF ANIMAL PRODUCTS IN EDO CENTRAL SENATORIAL DISTRICT, EDO STATE.",50000000,5,1,01/06/2019,localGovernment,778,5,2,1
98,"100 UNITS OF TRICYCLES AT N44,800,000 FOR YOUTH EMPOWERMENT AT IFELODUN/OYUN/OFFA LGAs OF KWARA STATE",44800000,3,122,2015-01-01,localGovernment,479,1,2,1
99,IHE-OBUONA-UJIRI EROSION CONTROL PROJECT,30000000,28,232,2015-01-01,localGovernment,780,1,2,1
100,"SKILL ACQUISITION TRAINING AND EMPOWERMENT ON VARIOUS TRADE FOR YOUTH AND WOMEN IN DEGEMA/BONNY FEDERAL CONSTITUENCY, RIVERS STATE",40000000,29,35,2018-01-01,localGovernment,798,5,2,1
101,"DERATIZATION / SANITATION OF SECONDARY SCHOOL IN TARAUNI, KANO",13000000,3,175,1/1/2018,localGovernment,392,5,2,1
102,"""TRAINING OF EDUCATION STAKEHOLDERS ON THE SAFETY AND SECURITY OF CHILDREN IN SCHOOLS IN
BAYELSA STATE""",50000000,10,338,2019-06-01,localGovernment,772,5,2,1
103,"TRAINING AND PROVION OF SMALL SCALE BUSINESS TOOLS IN KEBBI SOUTH SENATORIAL DISTRICT, KEBBI STATE",125000000,3,122,6/1/2019,localGovernment,787,5,2,1
104,"CONSTRUCTION OF 5 NOS. SKILL ACQUISITION CENTRES AT  SUNKANI, ARDO- KOLA LGA; KARIM, LAMIDO LGA; PANTISAW, YARRO LGA; LAU, LAU LGA; AND ZING, ZING LGA, TARABA NORTH
SENATORIAL DISTRICT, TARABA STATE",224633000,29,35,1/1/2018,localGovernment,722,5,2,1
105,"RECONSTRUCTION OF NGURU SECONDARY COMMERCIAL SCHOOL, EKE NGURU IN ABOH MBAISE LGA OF IMO STATE",10000000,18,45,1/1/2018,localGovernment,279,5,2,1
106,"PROVISION OF MECHANISED BOREHOLE AT WASE CENTRAL MOSQUE, WASE LGA, PLATEAU SOUTH SENATORIAL DISTRICT, PLATEAU STATE.",10000000,29,244,2017-01-01,localGovernment,650,1,2,1
107,"SOLAR POWERED BOREHOLE AT ANGUWAN YELWA, PRIMARY SCHOOL, CHIKUN LGA, KADUNA STATE",10500000,28,240,2016-01-01,localGovernment,332,6,2,1
108,"YOUTH & WOMEN EMPOWERMENT PROGRAM IN GUMMI LG, ZAMFARA STATE",52000000,5,1,1/1/2018,localGovernment,751,5,2,1
109,"PROVISION OF 2NOS, 1 BLOCK OF 3 CLASSROOM AT SHIRA L.G.A, BAUCHI STATE.",22542482,10,173,1/1/2018,localGovernment,106,5,2,1
110,"SUPPLY OF AGRO CHEMICALS TO SELECTED
LOCATIONS IN KANO STATE",207280000,5,1,1/1/2018,localGovernment,785,1,2,1
111,"REHABILITATION/RECONSTRUCTION OF A BLOCK OF THREE CLASSROOMS IN EDE NORTH/EDE SOUTH/EGBEDORE/EJIGBO FEDERAL CONSTITUENCY, OSUN STATE",10000000,10,173,01-01-2016,localGovernment,588,1,2,1
112,"COMPLETION OF OKPUEZE UMUMBA NDIUNO EROSION CONTROL PROJECT, EZEAGU LGA, ENUGU STATE",25000000,28,232,2016-01-01,localGovernment,258,2,2,1
113,"PROVISION OF HAND PUMP IN KEBBI SOUTH SENATORIAL DISTRICT, KEBBI STATE",124000000,30,216,6/1/2019,localGovernment,787,5,2,1
114,"CONSTRUCTION  OF A BLOCK OF 3CLASSROOMS AT L.A SCHOOL OLOWA/OWONOWEN IN IJEBU NORTH L.G.A, OGUN STATE",17500000,10,173,01/01/2017,localGovernment,804,1,3,1
115,"AGRICULTURAL SKILL ACQUISITION ON FISHERY PRODUCTION FOR WOMEN & YOUTH  IN EZEAGU AND UDI LGA,
ENUGU STATE",25000000,5,351,6/1/2019,localGovernment,256,5,2,1
116,"PROVISION OF FILM GRANTS TO YOUTHS IN LOKOJA FEDERAL CONSTITUENCY FOR PRODUCTION/EQUIPMENT/PRODUCTION LOGISTICS, KOGI STATE",60000000,14,51,,localGovernment,465,1,2,1
117,"CONSTRUCTION OF SOLAR POWERED BOREHOLE AND RETICULATION AT RICE MILL IN RICE MILL, EBONYI STATE.",13333500,28,232,2016-01-01,localGovernment,219,5,2,1
118,"PROVISION OF MOTORISED BOREHOLE IN ILUOMOBA EKITI, EKITI SOUTH SENATORIAL DISTRICT, EKITI STATE",9000000,28,295,2016-01-01,localGovernment,236,6,2,1
119,"SUPPLY OF 2NOS. TOYOTA HILUX (PICK UP) VANS TO GRA KEFFI, NASARAWA WEST SENATORIAL DISTRICT, NASARAWA STATE.",25000000,3,2,2017-01-01,localGovernment,515,1,2,1
120,"CONSTRUCTION AND ASPHALTING OF 1.64KM INTERNAL ROAD NETWORK AT SURULERE STREET /OKE-IBUKUN, ISINLA COMMUNITY,TEXILE AREA, ADO EKITI, ADO/IREPODUN/IFELODUN FEDERAL CONSTITUENCY, EKITI STATE.",64777000,23,312,01/06/2019,localGovernment,236,5,2,1
121,PROVISION OF BAJAJ MOTOR-CYCLES TO YOUTH IN OGO- OLUWA/SURULERE FEDERAL CONSTITUENCY OYO STATE,10000000,28,261,,localGovernment,639,1,2,1
122,GREEN TECHNOLOGY SKILL ACQUISITION FOR YOUTHS AND YOUNG ADULTS IN EGBADO SOUTH AND IPOKIA LG OF OGUN STATE.,54000000,29,244,2018-01-01,localGovernment,561,5,2,1
123,"SUPPLY AND INSTALLATION OF 16 Nos. 300KVA TRANSFORMER TO 16 COMMUNITIES IN OKIGWE (IHITTE IHUBE & UMULOLO), ONIMO (AMATO-UGBOKO, OKWELLE & DIAKUMA) LGA, EHIME MBANO (UMUEZEALA OBIAMA, UMUOKIRI, UMUOPARA OGBONNA & UMUEZEALA), OBOWO (OHUNAOKWU PRIMARY SCHOOL JUNCTION, EBELEBE, UMUNTUMAOGU OKWUOHIA), NGODO (ISUOCHI & NGODO) AT N5M EACH",53000000,22,248,2015-01-01,localGovernment,297,1,2,1
124,"ADDITIONAL WORKS IN AWULEMA CLINIC, OHIMINI LGA, BENUE STATE.",12000000,4,75,2017-01-01,localGovernment,136,1,2,1
125,"SUPPLY OF STARTER KITS FOR WELDING OF FABRICATIONS, BEAD MAKING, CARPENTRY AND FURNITURE MAKING, STYLING AND HAIRDRESSING, FASHION DESIGNING, BARBING, PHOTOGRAPHY, TILING, ELECTRICAL INSTALLATIONS, PLUMBING AND PIPE FITTING TO AKOKO EDO FEDERAL CONSTITUENCY, EDO STATE.",22500000,28,295,2015-01-01,localGovernment,778,1,2,1
126,"SUPPLY AND INSTALLATION OF 500KVA TRANSFORMER AND CONNECTION TO NATIONAL GRID IN OBAFEMI OWODE LGA,  OGUN CENTRAL SENATORIAL DISTIRCT, OGUN STATE.",7500000,22,248,2015-01-01,localGovernment,562,1,2,1
127,"HIV AWARENESS CAMPAIGN/FREE MEDICAL MISSION FOR PHC ADOGI - LAFIA EAST, LAFIA LGA",25000000,29,194,2015-01-01,localGovernment,517,1,2,1
128,"CONSTRUCTION OF SOLAR POWERED STREET LIGHT IN AIYETORO GBEDE, IJUMU LGA, KOGI WEST SENATORIAL DISTRICT, KOGI STATE.",21000000,2,2,6/1/2019,localGovernment,462,5,2,1
129,"REHABILITATION OF WATER BOREHOLE IN ABI/YAKURR FEDERAL CONSTITUENCY, CROSS RIVER STATE",9376000,28,231,2016/01/01,localGovernment,175,2,2,1
130,"RENOVATION OF HEALTH CENTRE IN AMAMIRI IHECHIOWA, AROCHUKWU LGA, AROCHUKWU/OHAFIA FEDERAL CONSTITUENCY, ABIA STATE",7000000,18,45,2019-06-01,localGovernment,3,5,2,1
131,"TRAINING ON HUMAN RIGHT VIOLATIONS
IN IZZI/ABAKALIKI FEDERAL CONSTITUENCY, EBONYI STATE",25000000,16,190,1/1/2018,localGovernment,213,5,2,1
132,"EROSION CONTROL PROJECT AT HOTORO, KAUYEN ALU, BABBAN GIJI AND DARMANAWA WARDS IN TARAUNI FEDERAL CONSTITUENCY, KANO STATE",100000000,28,236,2016-01-01,localGovernment,392,1,2,1
133,"CONSTRUCTION OF BOREHOLE WITH STANCHION, TANKS, SUPPLY LINES AND A GENERATING SET,  AT AKOYOVO, IYEKOGBA LGA, EDO SOUTH SENATORIAL DISTRICT, EDO STATE",4000000,20,281,2016-01-01,localGovernment,221,5,2,1
